candidate_id,interview_score,interview_round,result,interview_date
0,79,Final,Selected,2026-03-18
1,64,HR,Rejected,2026-01-25
2,57,HR,Rejected,2026-02-26
3,51,HR,Rejected,2026-04-05
4,74,HR,Selected,2026-03-12
5,78,Technical,Selected,2026-04-07
6,63,HR,Rejected,2026-01-02
7,65,HR,Rejected,2026-03-31
8,75,Final,Selected,2026-01-30
9,62,HR,Rejected,2026-01-07
10,58,Technical,Rejected,2026-01-13
11,68,Final,Rejected,2026-02-27
12,78,Final,Selected,2026-03-01
13,58,Technical,Rejected,2026-03-22
14,86,Final,Selected,2026-04-09
15,78,Technical,Selected,2026-04-03
16,54,Final,Rejected,2026-01-30
17,57,HR,Rejected,2026-02-11
18,53,HR,Rejected,2026-02-05
19,60,HR,Rejected,2026-01-29
20,51,Technical,Rejected,2026-01-24
21,71,Technical,Selected,2026-03-09
22,83,HR,Selected,2026-03-18
23,46,HR,Rejected,2026-01-14
24,55,Final,Rejected,2026-02-18
25,81,HR,Selected,2026-04-02
26,58,HR,Rejected,2026-02-11
27,79,Technical,Selected,2026-02-08
28,63,HR,Rejected,2026-03-08
29,57,Technical,Rejected,2026-04-11
30,51,Technical,Rejected,2026-02-28
31,60,Final,Rejected,2026-03-26
32,83,HR,Selected,2026-03-27
33,67,Technical,Rejected,2026-02-21
34,80,Technical,Selected,2026-02-03
35,87,HR,Selected,2026-04-04
36,64,Technical,Rejected,2026-03-08
37,53,Final,Rejected,2026-02-06
38,68,Final,Rejected,2026-04-09
39,89,Final,Selected,2026-01-04
40,54,HR,Rejected,2026-03-10
41,78,HR,Selected,2026-02-02
42,45,Technical,Rejected,2026-03-31
43,89,HR,Selected,2026-02-17
44,86,Technical,Selected,2026-04-03
45,40,Technical,Rejected,2026-02-27
46,80,Final,Selected,2026-02-08
47,59,Final,Rejected,2026-02-18
48,78,HR,Selected,2026-03-14
49,85,Technical,Selected,2026-01-07
50,50,Technical,Rejected,2026-01-14
51,68,Technical,Rejected,2026-04-03
52,65,HR,Rejected,2026-02-12
53,62,Final,Rejected,2026-02-06
54,86,Final,Selected,2026-02-09
55,73,HR,Selected,2026-03-20
56,44,Final,Rejected,2026-01-20
57,44,Technical,Rejected,2026-02-21
58,64,HR,Rejected,2026-03-07
59,70,Final,Rejected,2026-02-19
60,82,HR,Selected,2026-03-30
61,54,Final,Rejected,2026-01-31
62,62,HR,Rejected,2026-04-07
63,84,Technical,Selected,2026-03-18
64,50,HR,Rejected,2026-03-30
65,74,Final,Selected,2026-01-26
66,75,Technical,Selected,2026-01-22
67,72,Technical,Selected,2026-03-23
68,71,HR,Selected,2026-03-02
69,64,Technical,Rejected,2026-02-26
70,69,Technical,Rejected,2026-03-08
71,65,HR,Rejected,2026-02-18
72,54,HR,Rejected,2026-01-23
73,80,Technical,Selected,2026-03-06
74,84,Final,Selected,2026-01-13
75,71,Technical,Selected,2026-02-21
76,78,Technical,Selected,2026-04-10
77,57,Technical,Rejected,2026-02-02
78,57,Technical,Rejected,2026-01-24
79,82,HR,Selected,2026-01-09
80,58,Technical,Rejected,2026-02-06
81,66,Final,Rejected,2026-03-16
82,56,Final,Rejected,2026-02-25
83,79,HR,Selected,2026-03-22
84,61,Final,Rejected,2026-01-02
85,69,HR,Rejected,2026-02-01
86,77,HR,Selected,2026-01-24
87,57,Final,Rejected,2026-03-13
88,51,Technical,Rejected,2026-01-16
89,53,Final,Rejected,2026-04-08
90,68,HR,Rejected,2026-03-18
91,70,HR,Rejected,2026-03-03
92,75,Technical,Selected,2026-03-03
93,62,HR,Rejected,2026-01-16
94,87,HR,Selected,2026-02-18
95,73,HR,Selected,2026-02-14
96,73,Final,Selected,2026-02-09
97,58,Final,Rejected,2026-04-12
98,73,Technical,Selected,2026-02-02
99,72,Technical,Selected,2026-01-02
